,,,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,IP,NP,NR,P,S,U
,,Number of Records,,,,,,,,,,,1,,,,,,,,,
,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,0%,,,,,,,,
,,Number of Records,,,,,,,,,,,,1,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,2%,,,,,,,
,,Number of Records,,,,,,,,,,,,,10,,,,,,,
,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,0%,,,,
,,Number of Records,,,,,,,,,,,,,,,,2,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,1%,,
,,Number of Records,,,,,,,,,,,,,,,,,,3,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,1%,,,,,,
,,Number of Records,,,,,,,,,,,,,,6,,,,,,
Chemistry 104E,A,% of Total Number of Records along Grade Code Final,,100%,,,,,,,,,,,,,,,,,,
,,Number of Records,,1,,,,,,,,,,,,,,,,,,
Chemistry 111,A,% of Total Number of Records along Grade Code Final,,7%,,,,,,,,,,,,,,,,,,
,,Number of Records,,48,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,4%,,,,,,,,,,,,,,,,,
,,Number of Records,,,29,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,2%,,,,,,,,,,,,,,,,,,,
,,Number of Records,17,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,10%,,,,,,,,,,,,,,,
,,Number of Records,,,,,71,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,6%,,,,,,,,,,,,,,
,,Number of Records,,,,,,42,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,4%,,,,,,,,,,,,,,,,
,,Number of Records,,,,30,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,17%,,,,,,,,,,,,
,,Number of Records,,,,,,,,117,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,7%,,,,,,,,,,,
,,Number of Records,,,,,,,,,50,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,8%,,,,,,,,,,,,,
,,Number of Records,,,,,,,56,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,10%,,,,,,,,,
,,Number of Records,,,,,,,,,,,74,,,,,,,,,
,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,3%,,,,,,,,
,,Number of Records,,,,,,,,,,,,23,,,,,,,,
,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,3%,,,,,,,,,,
,,Number of Records,,,,,,,,,,19,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,12%,,,,,,,
,,Number of Records,,,,,,,,,,,,,85,,,,,,,
,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,1%,,,,
,,Number of Records,,,,,,,,,,,,,,,,8,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,1%,,
,,Number of Records,,,,,,,,,,,,,,,,,,8,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,4%,,,,,,
,,Number of Records,,,,,,,,,,,,,,31,,,,,,
Chemistry 112,A,% of Total Number of Records along Grade Code Final,,6%,,,,,,,,,,,,,,,,,,
,,Number of Records,,37,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,8%,,,,,,,,,,,,,,,,,
,,Number of Records,,,49,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,1%,,,,,,,,,,,,,,,,,,,
,,Number of Records,4,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,12%,,,,,,,,,,,,,,,
,,Number of Records,,,,,71,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,9%,,,,,,,,,,,,,,
,,Number of Records,,,,,,51,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,12%,,,,,,,,,,,,,,,,
,,Number of Records,,,,70,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,11%,,,,,,,,,,,,
,,Number of Records,,,,,,,,64,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,9%,,,,,,,,,,,
,,Number of Records,,,,,,,,,52,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,7%,,,,,,,,,,,,,
,,Number of Records,,,,,,,41,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,7%,,,,,,,,,
,,Number of Records,,,,,,,,,,,40,,,,,,,,,
,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,2%,,,,,,,,
,,Number of Records,,,,,,,,,,,,10,,,,,,,,
,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,2%,,,,,,,,,,
,,Number of Records,,,,,,,,,,11,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,7%,,,,,,,
,,Number of Records,,,,,,,,,,,,,42,,,,,,,
,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,2%,,,,
,,Number of Records,,,,,,,,,,,,,,,,9,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,1%,,
,,Number of Records,,,,,,,,,,,,,,,,,,8,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,3%,,,,,,
,,Number of Records,,,,,,,,,,,,,,18,,,,,,
Chemistry 113,A,% of Total Number of Records along Grade Code Final,,13%,,,,,,,,,,,,,,,,,,
,,Number of Records,,63,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,6%,,,,,,,,,,,,,,,,,
,,Number of Records,,,31,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,4%,,,,,,,,,,,,,,,,,,,
,,Number of Records,19,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,15%,,,,,,,,,,,,,,,
,,Number of Records,,,,,72,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,9%,,,,,,,,,,,,,,
,,Number of Records,,,,,,45,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,8%,,,,,,,,,,,,,,,,
,,Number of Records,,,,37,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,13%,,,,,,,,,,,,
,,Number of Records,,,,,,,,61,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,8%,,,,,,,,,,,
,,Number of Records,,,,,,,,,36,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,11%,,,,,,,,,,,,,
,,Number of Records,,,,,,,52,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,4%,,,,,,,,,
,,Number of Records,,,,,,,,,,,17,,,,,,,,,
,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,1%,,,,,,,,
,,Number of Records,,,,,,,,,,,,4,,,,,,,,
,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,2%,,,,,,,,,,
,,Number of Records,,,,,,,,,,11,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,4%,,,,,,,
,,Number of Records,,,,,,,,,,,,,17,,,,,,,
,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,0%,,,,
,,Number of Records,,,,,,,,,,,,,,,,2,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,1%,,
,,Number of Records,,,,,,,,,,,,,,,,,,5,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,1%,,,,,,
,,Number of Records,,,,,,,,,,,,,,5,,,,,,
Chemistry 114L,A,% of Total Number of Records along Grade Code Final,,3%,,,,,,,,,,,,,,,,,,
,,Number of Records,,1,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,6%,,,,,,,,,,,,,,,,,
,,Number of Records,,,2,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,28%,,,,,,,,,,,,,,,
,,Number of Records,,,,,9,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,16%,,,,,,,,,,,,,,
,,Number of Records,,,,,,5,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,16%,,,,,,,,,,,,,,,,
,,Number of Records,,,,5,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,13%,,,,,,,,,,,,
,,Number of Records,,,,,,,,4,,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,9%,,,,,,,,,,,,,
,,Number of Records,,,,,,,3,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,9%,,,,,,,,,
,,Number of Records,,,,,,,,,,,3,,,,,,,,,
Chemistry 115,A,% of Total Number of Records along Grade Code Final,,8%,,,,,,,,,,,,,,,,,,
,,Number of Records,,35,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,11%,,,,,,,,,,,,,,,,,
,,Number of Records,,,52,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,0%,,,,,,,,,,,,,,,,,,,
,,Number of Records,1,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,16%,,,,,,,,,,,,,,,
,,Number of Records,,,,,74,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,15%,,,,,,,,,,,,,,
,,Number of Records,,,,,,71,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,9%,,,,,,,,,,,,,,,,
,,Number of Records,,,,41,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,14%,,,,,,,,,,,,
,,Number of Records,,,,,,,,65,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,6%,,,,,,,,,,,
,,Number of Records,,,,,,,,,29,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,9%,,,,,,,,,,,,,
,,Number of Records,,,,,,,41,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,5%,,,,,,,,,
,,Number of Records,,,,,,,,,,,23,,,,,,,,,
,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,0%,,,,,,,,,,
,,Number of Records,,,,,,,,,,2,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,3%,,,,,,,
,,Number of Records,,,,,,,,,,,,,14,,,,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,1%,,
,,Number of Records,,,,,,,,,,,,,,,,,,3,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,2%,,,,,,
,,Number of Records,,,,,,,,,,,,,,10,,,,,,
Chemistry 118E,C+,% of Total Number of Records along Grade Code Final,,,,,,,100%,,,,,,,,,,,,,
,,Number of Records,,,,,,,1,,,,,,,,,,,,,
Chemistry 120,A,% of Total Number of Records along Grade Code Final,,4%,,,,,,,,,,,,,,,,,,
,,Number of Records,,25,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,5%,,,,,,,,,,,,,,,,,
,,Number of Records,,,31,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,1%,,,,,,,,,,,,,,,,,,,
,,Number of Records,7,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,13%,,,,,,,,,,,,,,,
,,Number of Records,,,,,77,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,9%,,,,,,,,,,,,,,
,,Number of Records,,,,,,54,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,7%,,,,,,,,,,,,,,,,
,,Number of Records,,,,42,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,17%,,,,,,,,,,,,
,,Number of Records,,,,,,,,106,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,8%,,,,,,,,,,,
,,Number of Records,,,,,,,,,49,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,9%,,,,,,,,,,,,,
,,Number of Records,,,,,,,52,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,6%,,,,,,,,,
,,Number of Records,,,,,,,,,,,39,,,,,,,,,
,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,1%,,,,,,,,
,,Number of Records,,,,,,,,,,,,7,,,,,,,,
,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,0%,,,,,,,,,,
,,Number of Records,,,,,,,,,,2,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,8%,,,,,,,
,,Number of Records,,,,,,,,,,,,,51,,,,,,,
,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,2%,,,,
,,Number of Records,,,,,,,,,,,,,,,,11,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,3%,,
,,Number of Records,,,,,,,,,,,,,,,,,,19,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,6%,,,,,,
,,Number of Records,,,,,,,,,,,,,,38,,,,,,
Chemistry 122,A,% of Total Number of Records along Grade Code Final,,11%,,,,,,,,,,,,,,,,,,
,,Number of Records,,17,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,8%,,,,,,,,,,,,,,,,,
,,Number of Records,,,13,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,1%,,,,,,,,,,,,,,,,,,,
,,Number of Records,1,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,22%,,,,,,,,,,,,,,,
,,Number of Records,,,,,36,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,14%,,,,,,,,,,,,,,
,,Number of Records,,,,,,23,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,7%,,,,,,,,,,,,,,,,
,,Number of Records,,,,11,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,15%,,,,,,,,,,,,
,,Number of Records,,,,,,,,24,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,4%,,,,,,,,,,,
,,Number of Records,,,,,,,,,7,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,9%,,,,,,,,,,,,,
,,Number of Records,,,,,,,15,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,2%,,,,,,,,,
,,Number of Records,,,,,,,,,,,3,,,,,,,,,
,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,2%,,,,,,,,,,
,,Number of Records,,,,,,,,,,4,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,1%,,,,,,,
,,Number of Records,,,,,,,,,,,,,1,,,,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,2%,,
,,Number of Records,,,,,,,,,,,,,,,,,,4,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,1%,,,,,,
,,Number of Records,,,,,,,,,,,,,,2,,,,,,
Chemistry 130,A,% of Total Number of Records along Grade Code Final,,12%,,,,,,,,,,,,,,,,,,
,,Number of Records,,9,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,8%,,,,,,,,,,,,,,,,,
,,Number of Records,,,6,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,15%,,,,,,,,,,,,,,,
,,Number of Records,,,,,11,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,16%,,,,,,,,,,,,,,
,,Number of Records,,,,,,12,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,15%,,,,,,,,,,,,,,,,
,,Number of Records,,,,11,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,9%,,,,,,,,,,,,
,,Number of Records,,,,,,,,7,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,11%,,,,,,,,,,,
,,Number of Records,,,,,,,,,8,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,5%,,,,,,,,,,,,,
,,Number of Records,,,,,,,4,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,3%,,,,,,,,,
,,Number of Records,,,,,,,,,,,2,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,5%,,,,,,,
,,Number of Records,,,,,,,,,,,,,4,,,,,,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,1%,,,,,,
,,Number of Records,,,,,,,,,,,,,,1,,,,,,
Chemistry 131,A,% of Total Number of Records along Grade Code Final,,4%,,,,,,,,,,,,,,,,,,
,,Number of Records,,2,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,4%,,,,,,,,,,,,,,,,,
,,Number of Records,,,2,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,18%,,,,,,,,,,,,,,,
,,Number of Records,,,,,8,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,7%,,,,,,,,,,,,,,
,,Number of Records,,,,,,3,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,16%,,,,,,,,,,,,,,,,
,,Number of Records,,,,7,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,22%,,,,,,,,,,,,
,,Number of Records,,,,,,,,10,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,13%,,,,,,,,,,,
,,Number of Records,,,,,,,,,6,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,16%,,,,,,,,,,,,,
,,Number of Records,,,,,,,7,,,,,,,,,,,,,
Chemistry 140,A,% of Total Number of Records along Grade Code Final,,5%,,,,,,,,,,,,,,,,,,
,,Number of Records,,3,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,5%,,,,,,,,,,,,,,,,,
,,Number of Records,,,3,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,21%,,,,,,,,,,,,,,,
,,Number of Records,,,,,13,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,3%,,,,,,,,,,,,,,
,,Number of Records,,,,,,2,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,8%,,,,,,,,,,,,,,,,
,,Number of Records,,,,5,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,21%,,,,,,,,,,,,
,,Number of Records,,,,,,,,13,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,2%,,,,,,,,,,,
,,Number of Records,,,,,,,,,1,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,8%,,,,,,,,,,,,,
,,Number of Records,,,,,,,5,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,10%,,,,,,,,,
,,Number of Records,,,,,,,,,,,6,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,8%,,,,,,,
,,Number of Records,,,,,,,,,,,,,5,,,,,,,
,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,2%,,,,
,,Number of Records,,,,,,,,,,,,,,,,1,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,5%,,
,,Number of Records,,,,,,,,,,,,,,,,,,3,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,5%,,,,,,
,,Number of Records,,,,,,,,,,,,,,3,,,,,,
Chemistry 150,A,% of Total Number of Records along Grade Code Final,,27%,,,,,,,,,,,,,,,,,,
,,Number of Records,,97,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,17%,,,,,,,,,,,,,,,,,
,,Number of Records,,,60,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,1%,,,,,,,,,,,,,,,,,,,
,,Number of Records,3,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,19%,,,,,,,,,,,,,,,
,,Number of Records,,,,,68,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,10%,,,,,,,,,,,,,,
,,Number of Records,,,,,,37,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,17%,,,,,,,,,,,,,,,,
,,Number of Records,,,,63,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,2%,,,,,,,,,,,,
,,Number of Records,,,,,,,,7,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,1%,,,,,,,,,,,
,,Number of Records,,,,,,,,,3,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,3%,,,,,,,,,,,,,
,,Number of Records,,,,,,,10,,,,,,,,,,,,,
,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,1%,,,,,,,,,,
,,Number of Records,,,,,,,,,,2,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,2%,,,,,,,
,,Number of Records,,,,,,,,,,,,,8,,,,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,0%,,
,,Number of Records,,,,,,,,,,,,,,,,,,1,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,1%,,,,,,
,,Number of Records,,,,,,,,,,,,,,4,,,,,,
Chemistry 153,A,% of Total Number of Records along Grade Code Final,,9%,,,,,,,,,,,,,,,,,,
,,Number of Records,,33,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,13%,,,,,,,,,,,,,,,,,
,,Number of Records,,,44,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,3%,,,,,,,,,,,,,,,,,,,
,,Number of Records,10,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,21%,,,,,,,,,,,,,,,
,,Number of Records,,,,,73,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,10%,,,,,,,,,,,,,,
,,Number of Records,,,,,,34,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,17%,,,,,,,,,,,,,,,,
,,Number of Records,,,,58,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,11%,,,,,,,,,,,,
,,Number of Records,,,,,,,,38,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,2%,,,,,,,,,,,
,,Number of Records,,,,,,,,,8,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,8%,,,,,,,,,,,,,
,,Number of Records,,,,,,,27,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,2%,,,,,,,,,
,,Number of Records,,,,,,,,,,,6,,,,,,,,,
,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,0%,,,,,,,,
,,Number of Records,,,,,,,,,,,,1,,,,,,,,
,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,1%,,,,,,,,,,
,,Number of Records,,,,,,,,,,2,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,2%,,,,,,,
,,Number of Records,,,,,,,,,,,,,7,,,,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,1%,,
,,Number of Records,,,,,,,,,,,,,,,,,,3,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,1%,,,,,,
,,Number of Records,,,,,,,,,,,,,,4,,,,,,
Chemistry 155,A,% of Total Number of Records along Grade Code Final,,5%,,,,,,,,,,,,,,,,,,
,,Number of Records,,20,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,15%,,,,,,,,,,,,,,,,,
,,Number of Records,,,60,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,4%,,,,,,,,,,,,,,,,,,,
,,Number of Records,16,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,18%,,,,,,,,,,,,,,,
,,Number of Records,,,,,69,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,12%,,,,,,,,,,,,,,
,,Number of Records,,,,,,48,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,20%,,,,,,,,,,,,,,,,
,,Number of Records,,,,76,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,6%,,,,,,,,,,,,
,,Number of Records,,,,,,,,22,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,2%,,,,,,,,,,,
,,Number of Records,,,,,,,,,8,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,9%,,,,,,,,,,,,,
